run_number,weight_group,nominal_weight_kg,replicate_number,port_used,capture_timestamp,samples,duration_s,mean_raw_g,std_raw_g,min_raw_g,max_raw_g,range_raw_g,mean_filtered_g,std_filtered_g,min_filtered_g,max_filtered_g,range_filtered_g,mean_raw_kg,std_raw_kg,mean_filtered_kg,std_filtered_kg,mean_error_filtered_g,mean_error_filtered_kg,percent_error_filtered
1,2kg,2,1,COM16,2026-03-12 20:40:39,162,15.602,-1999.89555555556,0.837415292833135,-2002.269,-1997.448,4.82099999999991,-1999.8944382716,0.261581286520774,-2000.528,-1998.97,1.55799999999999,-1.99989555555556,0.000837415292833131,-1.9998944382716,0.000261581286520765,-3999.8944382716,-3.99989443827161,-199.99472191358
2,2kg,2,2,COM16,2026-03-12 20:41:04,210,20.151,-1999.87301428571,0.812784401331945,-2001.78,-1997.805,3.97499999999991,-1999.88868571429,0.400281224449277,-2000.591,-1998.849,1.74199999999996,-1.99987301428571,0.000812784401331948,-1.99988868571429,0.000400281224449266,-3999.88868571429,-3.99988868571429,-199.994434285714
3,2kg,2,3,COM16,2026-03-12 20:41:27,164,15.752,-2000.08103658537,0.8393996824363,-2002.055,-1998.143,3.91200000000003,-2000.10205487805,0.340192714295144,-2000.802,-1999.374,1.42799999999988,-2.00008103658537,0.000839399682436314,-2.00010205487805,0.000340192714295149,-4000.10205487805,-4.00010205487805,-200.005102743902
4,4kg,4,1,COM16,2026-03-12 20:43:21,211,20.252,-3942.65251658768,0.811666829056238,-3945.159,-3940.67,4.48900000000003,-3942.65564454976,0.336124525827869,-3943.795,-3941.953,1.8420000000001,-3.94265251658768,0.000811666829056251,-3.94265564454976,0.00033612452582787,-7942.65564454976,-7.94265564454976,-198.566391113744
5,4kg,4,2,COM16,2026-03-12 20:43:49,186,17.902,-3943.15828494624,0.931250510314692,-3946.783,-3940.725,6.05799999999999,-3943.18472580645,0.350050861293883,-3944.39,-3942.426,1.96399999999994,-3.94315828494624,0.000931250510314684,-3.94318472580645,0.000350050861293889,-7943.18472580645,-7.94318472580645,-198.579618145161
6,4kg,4,3,COM16,2026-03-12 20:44:05,131,12.552,-3943.35885496183,0.937260403205803,-3946.072,-3941.214,4.85800000000017,-3943.31224427481,0.390233561061194,-3944.037,-3942.272,1.76499999999987,-3.94335885496183,0.000937260403205808,-3.94331224427481,0.000390233561061205,-7943.31224427481,-7.94331224427481,-198.58280610687
