timestamp_unix,elapsed_s,controller_id,kd_applied,tau_max_nm,watchdog_s,position_rev,velocity_rps,velocity_rpm,measured_torque_nm
1775350482.994157,0.775753,1,1.160000,0.600000,0.100000,-0.471282959,0.011979313,0.718758758,-0.001195034
1775350483.001518,0.783115,1,1.160000,0.600000,0.100000,-0.471374512,-0.019196361,-1.151781678,-0.000000000
1775350483.012981,0.794577,1,1.160000,0.600000,0.100000,-0.471359253,-0.002062330,-0.123739815,-0.001301870
1775350483.022312,0.803909,1,1.160000,0.600000,0.100000,-0.471374512,-0.011455749,-0.687344950,0.000969958
1775350483.038084,0.819680,1,1.160000,0.600000,0.100000,-0.471282959,0.006639344,0.398360649,-0.002494726
1775350483.048873,0.830469,1,1.160000,0.600000,0.100000,-0.471328735,-0.007381901,-0.442914069,0.001300797
1775350483.056800,0.838396,1,1.160000,0.600000,0.100000,-0.471359253,0.000940248,0.056414902,0.001192095
1775350483.066518,0.848114,1,1.160000,0.600000,0.100000,-0.471420288,-0.001253278,-0.075196701,0.000962091
1775350483.072922,0.854518,1,1.160000,0.600000,0.100000,-0.471466064,-0.006401440,-0.384086408,0.002609391
1775350483.079388,0.860985,1,1.160000,0.600000,0.100000,-0.471511841,-0.011964848,-0.717890896,-0.002373209
1775350483.085953,0.867549,1,1.160000,0.600000,0.100000,-0.471466064,0.006507739,0.390464338,-0.001188539
1775350483.092467,0.874063,1,1.160000,0.600000,0.100000,-0.471435547,-0.002590818,-0.155449058,0.002493463
1775350483.099114,0.880711,1,1.160000,0.600000,0.100000,-0.471511841,-0.019000463,-1.140027791,0.002492739
1775350483.105577,0.887174,1,1.160000,0.600000,0.100000,-0.471450806,0.010524441,0.631466489,-0.001188974
1775350483.111988,0.893585,1,1.160000,0.600000,0.100000,-0.471328735,0.011813016,0.708780941,-0.000108032
1775350483.118405,0.900001,1,1.160000,0.600000,0.100000,-0.471481323,-0.023867056,-1.432023346,0.003680870
1775350483.135543,0.917139,1,1.160000,0.600000,0.100000,-0.471450806,0.008446195,0.506771710,-0.000958410
1775350483.146412,0.928008,1,1.160000,0.600000,0.100000,-0.471511841,0.000910658,0.054639500,0.001186850
1775350483.153874,0.935470,1,1.160000,0.600000,0.100000,-0.471420288,0.001014715,0.060882897,0.000113156
1775350483.178618,0.960214,1,1.160000,0.600000,0.100000,-0.471481323,-0.014916437,-0.894986205,-0.001305304
1775350483.188410,0.970007,1,1.160000,0.600000,0.100000,-0.471435547,-0.016864084,-1.011845022,0.001419127
1775350483.197406,0.979003,1,1.160000,0.600000,0.100000,-0.471298218,0.016180689,0.970841311,-0.004989254
1775350483.203871,0.985467,1,1.160000,0.600000,0.100000,-0.471435547,-0.026690081,-1.601404846,0.001418380
1775350483.210327,0.991924,1,1.160000,0.600000,0.100000,-0.471466064,-0.009264265,-0.555855911,-0.001072021
1775350483.216741,0.998338,1,1.160000,0.600000,0.100000,-0.471328735,0.010064305,0.603858288,0.001409336
1775350483.223878,1.005474,1,1.160000,0.600000,0.100000,-0.471450806,-0.008635789,-0.518147349,0.002609099
1775350483.230627,1.012224,1,1.160000,0.600000,0.100000,-0.471420288,0.004177486,0.250649136,0.000000000
1775350483.237655,1.019251,1,1.160000,0.600000,0.100000,-0.471389771,0.005108968,0.306538101,0.001414958
1775350483.243998,1.025594,1,1.160000,0.600000,0.100000,-0.471374512,0.004701891,0.282113459,0.001302430
1775350483.258181,1.039777,1,1.160000,0.600000,0.100000,-0.471466064,-0.011278227,-0.676693618,0.001420586
1775350483.270074,1.051671,1,1.160000,0.600000,0.100000,-0.471511841,-0.017795561,-1.067733653,0.001067166
1775350483.280397,1.061993,1,1.160000,0.600000,0.100000,-0.471374512,0.016963225,1.017793491,0.000000000
1775350483.290397,1.071993,1,1.160000,0.600000,0.100000,-0.471450806,0.006882158,0.412929459,-0.001304490
1775350483.302499,1.084095,1,1.160000,0.600000,0.100000,-0.471374512,-0.004647649,-0.278858962,-0.003685610
